time,tool_processes,rss_sum_kib,rss_max_kib
2026-09-25T09:37:06+00:00,2,1302592,1297844
2026-09-25T09:37:08+00:00,2,1613072,1608324
2026-09-25T09:37:10+00:00,2,2861888,2857140
2026-09-25T09:37:12+00:00,2,2599284,2594536
2026-09-25T09:37:14+00:00,2,2876584,2871836
2026-09-25T09:37:16+00:00,2,2391688,2386940
2026-09-25T09:37:18+00:00,2,2391688,2386940
2026-09-25T09:37:20+00:00,2,333348,328536
2026-09-25T09:37:22+00:00,2,365880,361068
2026-09-25T09:37:24+00:00,2,417596,412784
2026-09-25T09:37:26+00:00,2,463104,458292
2026-09-25T09:37:28+00:00,2,539384,534572
2026-09-25T09:37:30+00:00,2,335220,330408
2026-09-25T09:37:32+00:00,2,377936,373124
2026-09-25T09:37:34+00:00,2,428028,423216
2026-09-25T09:37:36+00:00,2,462248,457436
2026-09-25T09:37:38+00:00,2,462388,457576
2026-09-25T09:37:40+00:00,2,488124,483312
2026-09-25T09:37:42+00:00,2,534904,530092
2026-09-25T09:37:44+00:00,2,586000,581188
2026-09-25T09:37:46+00:00,2,636960,632148
2026-09-25T09:37:48+00:00,2,687848,683036
2026-09-25T09:37:50+00:00,2,730856,726044
2026-09-25T09:37:52+00:00,2,780008,775196
2026-09-25T09:37:54+00:00,2,833256,828444
2026-09-25T09:37:56+00:00,2,884456,879644
2026-09-25T09:37:58+00:00,2,374960,370044
2026-09-25T09:38:00+00:00,2,317240,312324
2026-09-25T09:38:02+00:00,2,580512,575596
2026-09-25T09:38:04+00:00,2,683448,678532
2026-09-25T09:38:06+00:00,2,749572,744656
2026-09-25T09:38:08+00:00,2,938624,933708
2026-09-25T09:38:10+00:00,2,1005472,1000556
2026-09-25T09:38:12+00:00,2,1072836,1067920
2026-09-25T09:38:14+00:00,2,1393548,1388632
2026-09-25T09:38:16+00:00,2,1462732,1457816
2026-09-25T09:38:18+00:00,2,1536024,1531108
2026-09-25T09:38:20+00:00,2,1606628,1601712
2026-09-25T09:38:22+00:00,2,1676484,1671568
2026-09-25T09:38:24+00:00,2,2227116,2222200
2026-09-25T09:38:26+00:00,2,2310436,2305520
2026-09-25T09:38:28+00:00,2,2382912,2377996
2026-09-25T09:38:30+00:00,2,2456788,2451872
2026-09-25T09:38:32+00:00,2,2510912,2505996
2026-09-25T09:38:34+00:00,2,2510912,2505996
2026-09-25T09:38:36+00:00,2,161664,156748
2026-09-25T09:38:38+00:00,2,644044,639128
2026-09-25T09:38:40+00:00,2,1461372,1456456
2026-09-25T09:38:42+00:00,2,1478296,1473380
2026-09-25T09:38:44+00:00,2,1792724,1787808
2026-09-25T09:38:46+00:00,2,2503428,2498512
2026-09-25T09:38:48+00:00,2,2242252,2237336
2026-09-25T09:38:50+00:00,2,2242252,2237336
2026-09-25T09:38:52+00:00,2,107356,102440
2026-09-25T09:38:54+00:00,2,289624,284708
2026-09-25T09:38:56+00:00,2,333476,328560
2026-09-25T09:38:58+00:00,2,281288,276372
2026-09-25T09:39:00+00:00,2,302164,297248
2026-09-25T09:39:02+00:00,2,346820,341904
2026-09-25T09:39:04+00:00,2,411852,406936
2026-09-25T09:39:06+00:00,2,474476,469560
2026-09-25T09:39:08+00:00,2,536104,531188
2026-09-25T09:39:10+00:00,2,599244,594328
2026-09-25T09:39:12+00:00,2,661532,656616
2026-09-25T09:39:14+00:00,2,724208,719292
2026-09-25T09:39:16+00:00,2,419316,414588
